Organization Name,Founded Year,Industries,Headquarters Location,Description,CB Rank (Company),Headerquarters Regions,Diversity Spotlight (US Only),Estimated Revenue Range,Operating Status,Exit Date,Closed Date,Company Type,Website,Twitter,Facebook,LinkedIn,Contact Email,Phone Number,Number of Articles,Hub Tags,Full Description,Actively Hiring,Investor Type,Investment Stage,School Type,School Program,Number of Enrollments,School Method,Number of Founders (Alumni),Industry Groups,Number of Founders,Founders,Number of Employees,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Type,Last Equity Funding Amount,Last Equity Funding Type,Total Equity Funding Amount,Total Funding Amount,Top Five Investors,Number of Lead Investors,Number of Investors,Number of Acquisitions,Acquisition Status,Transaction Name,Acquired by,Announced Date,Price,Acquisition Type,Acquisition Terms,IPO Status,IPO Date,Delisted Date,Money Raised at IPO,Valuation at IPO,Stock Symbol,Stock Exchange,Last Leadership Hiring Date,Last Layoff Mention Date,Number of Events,CB Rank (Organization),CB Rank (School),Trend Score (7 Days),Trend Score (30 Days),Trend Score (90 Days),Similar Companies,Contact Job Departments,Number of Contacts,Monthly Visits,Average Visits (6 Months),Monthly Visits Growth,Visit Duration,Visit Duration Growth,Page Views / Visit,Page Views / Visit Growth,Bounce Rate,Bounce Rate Growth,Global Traffic Rank,Monthly Rank Change (#),Monthly Rank Growth,Active Tech Count,Number of Apps,Download Last 30 Days,Total Product Active,Patents Granted,Trademarks Registered,Most Popular Patent Class,Most Popular Trademark Class,IT Spend,Most Recent Valuation Range,Date of Most Recent Valuation,Number of Portfolio Organizations,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Exits (IPO),Accelerator Program Type,Accelerator Application Deadline,Accelerator Duration (Week),Number of Alumni,Number of Private Contacts,Number of Private Notes,Tags
University of Aberdeen,1495,"E-Learning, Education, Universities","Aberdeen, Aberdeen City, United Kingdom",University of Aberdeen is a public research university.,,,,,Active,,,,www.abdn.ac.uk/,http://twitter.com/aberdeenuni,http://www.facebook.com/universityofaberdeen,http://www.linkedin.com/edu/university-of-aberdeen-12684,,,203,,"Founded in 1495 by William Elphinstone, Bishop of Aberdeen and Chancellor of Scotland, the University of Aberdeen is Scotland's third oldest and the UK's fifth oldest university.
William Elphinstone established King's College to train doctors, teachers and clergy for the communities of northern Scotland, and lawyers and administrators to serve the Scottish Crown. Much of the King's College still remains today, as do the traditions which the Bishop began.
King’s College opened with 36 staff and students, and embraced all the known branches of learning: arts, theology, canon and civil law. In 1497 it was first in the English-speaking world to create a chair of medicine. Elphinstone’s college looked outward to Europe and beyond, taking the great European universities of Paris and Bologna as its model.",,,,,,10001+,,91,"Education, Other, Software",1,William Elphinstone,,1,,2017-04-21,"$1,260,446.33",Grant,,,,"$1,260,446.33",National Institute of Health Research,1,1,,,,,,,,,Private,,,,,,,,,1,"104,943",,0.8,-0.2,-0.5,1,"Engineering, Finance, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales",845,"1,277,717","899,171.5",99.41%,856,98.61%,3.64,19.29%,50.77%,-2.53%,"88,600","-52,100",-37.03%,99,3,835,,,,,,,,,1,1,,,,,,,,219,,,
Hamline University,1854,"E-Learning, Education, Universities","Saint Paul, Minnesota, United States",Hamline University is a school in Saint Paul.,,"Greater Minneapolis-Saint Paul Area, Great Lakes, Midwestern US",,,Active,,,,www.hamline.edu/,https://twitter.com/HamlineU,http://www.facebook.com/35063982820,https://www.linkedin.com/groups/1081007/profile,,+116515232800,194,,"Considered one of the top-ranked universities in Minnesota, Hamline University was founded in the United Methodist tradition. Located in Saint Paul, students are attracted from all over the nation to benefit from the university’s stellar professors and academic programs.
Students will find that almost every traditional undergraduate degree is represented at Hamline. Master’s degrees are offered in Business, Creative Writing, Education, Nonprofit Management, Public Administration, and much more. Several graduate degrees are offered as well.
Doctoral degrees are offered in a few fields. Students can earn a doctorate in Public Administration, Law, and Education.
Students are faced with challenging academics at Hamline. Every student is required to complete an internship, a collaborative research project, a service learning assignment, or field-based research before graduating.
Students at Hamline are able explore not only superb academic programs, but also fantastic student life activities such as student organizations, residential living, performing arts activities, athletic teams, intramural sports, community service opportunities, and campus ministry.
Student support services allow students to benefit from the stellar programs at Hamline. Students can take advantage of academic workshops, health and counseling services, financial aid advising, a career services center, and research development assistance.
Hamline University is a well-respected Minnesotan university that inspires its students to pursue academic excellence.",,,,,,11-50,,22,"Education, Other, Software",,,,1,,2017-02-10,"$1,400,000.0",Grant,,,,"$1,400,000.0",,,,,,,,,,,,Private,,,,,,,,,,"105,807",,0.5,0.7,2.1,8,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Operations, Pro Services, Sales",293,"180,281","123,224.5",75.54%,587,-30.53%,3.8,-23.53%,52.47%,-13.5%,"355,531","-134,089",-27.39%,90,1,,,0,4,,Education; entertainment,,,,,,,,,,,,,57,,,
WaterBear Education,2017,"Career Planning, Education, Social Entrepreneurship","Brighton, East Sussex, United Kingdom","WaterBear Education Ltd, a private higher education college",,,,,Active,,,,waterbear.org.uk/,https://twitter.com/wearewaterbear,https://www.facebook.com/wearewaterbear/,,,,,,"WaterBear Education Ltd, a private higher education college which provides a range of Master of Arts (MA) and Bachelor of Arts (BA) degree courses across the creative industries in partnership with the University of Chichester",,,,,,,,,"Community and Lifestyle, Education, Professional Services",3,"Adam Bushell, Bruce Dickinson, Mark Clayden",,1,,2018-04-11,"$1,260,446.33",Venture - Series Unknown,"$1,260,446.33",Venture - Series Unknown,"$1,260,446.33","$1,260,446.33",Maven Capital Partners,1,1,,,,,,,,,Private,,,,,,,,,,"105,140",,-0.2,0.7,-0.2,7,,,"7,925","12,211",-24.19%,224,"1,500%",2.57,41.24%,50.52%,176.52%,"2,466,564","446,281",22.09%,39,,,,0,3,,Scientific and electric apparatus and instruments,,,,,,,,,,,,,,,,
Meridian Institute,1997,"Environmental Consulting, Non Profit","Dillon, Colorado, United States",Meridian Institute is an NPO that helps clients in development &amp; implementation of solutions to complicated often controversial problems.,"102,749",Western US,,,Active,,,,merid.org,https://twitter.com/meridorg,,https://www.linkedin.com/company/meridian-institute,contact@merid.org,,,,"Meridian Institute is an NPO that helps clients in the development &amp; implementation of solutions to complicated often controversial problems. Meridian focuses on the sustainability of forests, ocean policy, climate change, and energy. Opportunities for positive impact in areas such as disaster risk reduction, resilience, and public health widened our scope over time.",,,,,,,,,"Other, Professional Services",,,11-50,1,,2021-12-10,"$250,000.0",Grant,,,,"$250,000.0",Patrick J. McGovern Foundation,,1,,,,,,,,,Private,,,,,,,,,,"105,816",,0.0,0.9,2.2,5,"Finance, Human Resources, Management",27,"1,744",,-91.48%,0,-82.87%,1,-31.17%,100%,32.45%,"5,209,116","3,818,129",274.49%,7,,,,0,3,,Advertising; business,,,,,,,,,,,,,,,,
Elmhurst College,1871,,"Elmhurst, Illinois, United States",Elmhurst College is a school in Elmhurst.,,"Greater Chicago Area, Great Lakes, Midwestern US",,,Active,,,,www.elmhurst.edu/,http://twitter.com/elmhurstcollege,http://www.facebook.com/86293358032,,alumni@elmhurst.edu,(800) 581-4723,131,,"Offering liberal arts academics and professional degree programs in a
spiritually diverse, creatively stimulating environment, Elmhurst College
embodies a unique learning experience that encourages inquiry,
exploration and individuality.
Located in Elmhurst, Illinois, Elmhurst College is affiliated with the
United Church of Christ, which means that it honors those of all faiths
and even those with no religious beliefs. Students are encouraged to
explore various religious and spiritual ideologies through student
religious organizations, which include those devoted to Christianity,
Catholicism, Judaism and Islam. All students must take one Religion
course as well.
Since part of Elmhurst’s mission is to provide both liberal arts and
professional majors, students may get bachelor’s degrees in fields
ranging from English to Jazz Studies to Speech-Language Pathology.
Pre-professional programs include Pre-Actuarial Science, Pre-Dentistry,
Pre-Law, Pre-Medicine and Pre-Occupational Therapy. Graduate programs in
Teacher-Education and adult-degree options are also available.
Student cultural organizations, performing arts groups, campus
publications, social interest groups and special interest clubs provide
yet another way for students to explore and develop themselves as
individuals.
Transcripts, SAT or ACT scores and a recommendation letter are required
for undergraduate admission.
Upon filing their admissions application, students may also apply for
financial aid.",Yes,,,,,11-50,,12,,,,251-500,1,,2019-09-26,"$2,750,000.0",Grant,,,,"$2,750,000.0",National Science Foundation,1,1,,,,,,,,,Private,,,,,,,,,,"105,857",,-0.2,-0.2,0.3,4,"Engineering, Finance, Information Technology, Management, Medical &amp; Science, Operations, Pro Services, Sales",269,"273,374","208,610.83",62.34%,227,215.28%,1.8,-2.37%,75.59%,17.1%,"267,375","-84,242",-23.96%,83,,,,,,,,,,,,,,,,,,,,40,,,
University of Nebraska Medical Center,1869,"Education, Health Care, Medical","Omaha, Nebraska, United States",University of Nebraska - Medical Center is a school in Omaha.,,Midwestern US,,,Active,,,,www.unmc.edu/,http://twitter.com/unmc,http://www.facebook.com/60586020276,https://www.linkedin.com/company/university-of-nebraska-medical-center,info@nufnd.uneb.edu,(888) 805-1115,154,,"In addition to providing training for today’s leading medical and
healthcare fields, University of Nebraska Medical Center (UNMC) is at the
forefront of major research activities.
Located in Omaha, Nebraska, UNMC is particularly well known and respected
for its programs in Nursing, Pharmacy, Physical Therapy and Physician
Assisting. UNMC also has a medical and dental school that trains future
doctors and dentists.
In addition to offering high-quality medical education, UNMC conducts
hundreds of research projects yearly at its Durham Research Centers.
Research activities include discoveries and contributions in such areas
as cancer treatments and transplant medicine.
Since the student population remains relatively small, both classes and
research activities take place in small groups, giving students the
chance to work with faculty members, who are leaders and pioneers in
their field.
Additional healthcare education programs include training for such fields
as Clinical Laboratory Science, Cytotechnology, Medical Sonography and
Radiation Therapy.
Each program has its own admission requirements. Students may also apply
for funding through research assistantships and fellowships.",,University Program,,,,11-50,,14,"Education, Health Care",,,1001-5000,1,,2013-09-18,"$11,200,000.0",Grant,,,,"$11,200,000.0",National Institutes of Health,1,1,,,,,,,,,Private,,,,,,,,,,"105,914",,-0.2,-0.2,-0.3,14,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services","1,339","386,834","521,628",3.56%,313,77.84%,3.04,32.88%,55.95%,-11.86%,"209,883","6,571",3.23%,92,19,164,,6,2,Medical Or Veterinary Science; Hygiene,Advertising; business,,,,1,1,,,,,,,,30,,,
Kean University,1855,,"Union City, New Jersey, United States",Kean University is a school in Union City.,,"Greater New York Area, East Coast, Northeastern US",,,Active,,,,www.kean.edu/,http://twitter.com/KeanUniversity,http://www.facebook.com/108256072531782,,plopes@kean.edu,732.255.0356,77,,"For students in or nearby Union, New Jersey, looking to earn a bachelors or masters degree, why not head down Morris Avenue to visit Kean University and see if it’s the perfect place for you?
Programs include Accounting, Behavioral Sciences, Biology, Chemistry, Criminal Justice, Early Childhood Education, Finance, Fine Arts, and Visual Communications, among many, many more.
Among the student resources are a bookstore, child care center, food services and a career development center. The career center was built to help students write resumes, prepare for interviews, search for jobs and find the perfect major for their career goals.
Kean University also features a campus full of activities, clubs, and cultural offerings. You can see a show at the Wilkins Theater, or join one of the university’s many clubs. Or you could take a short trip to New York City, which is less than an hour away!
The decision to go to college shouldn’t have to depend solely on monetary matters. The financial aid resources of Kean will help you fill out the FAFSA, which could lead to federal loans and grants. There are also work-study programs, veteran’s benefits and many scholarships for eligible students. In fact, Kean University has a whole office dedicated to scholarship services.",,,,,,11-50,,16,,,,1-10,1,,2019-07-03,"$1,684,277.0",Grant,,,,"$1,684,277.0",National Science Foundation,1,1,,,,,,,,,Private,,,,,,,,,,"105,926",,0.6,0.1,0.0,13,"Finance, Human Resources, Information Technology, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales",785,"730,586","926,279.17",-27.81%,649,22.92%,3.99,-21.44%,39.29%,-7.23%,"133,513","35,002",35.53%,146,,,,,,,,,,,,,,,,,,,,58,,,
Xavier University of Louisiana,1915,"EdTech, Education, Universities","New Orleans, Louisiana, United States",Xavier University of Louisiana is a school in New Orleans.,,Southern US,Women Founded,,Active,,,,www.xula.edu/,http://twitter.com/XULAindex,http://www.facebook.com/101561003215801,,webmaster@xula.edu,504-486-7411,58,,"Xavier University is a mid-sized university which, as one of the nation’s up-and-coming universities is growing and improving in numerous ways. 
Located in New Orleans, Louisiana, Xavier is a traditional liberal arts college that offers bachelor’s degree programs in the arts, humanities, math and sciences. 
Master’s degree programs are offered in education, with such specializations as educational counseling and secondary teaching. One example of Xavier’s growth is in its development of a fast-track teacher-education program which takes less than two years to complete. 
A historically black, Catholic university (HBCU), Xavier still maintains a strong commitment to the African-American community. However, they have in recent years expanded to include students of all races and religions. 
Xavier’s geographical focus has also shifted. While students used to come mainly from the New Orleans region they are now traveling from as many as forty or so states to attend Xavier. 
Xavier has also earned more and more recognition for its research activities. Receiving top rankings and funding from national foundations, Xavier continues to expand its research in the sciences. 
Student services at Xavier consist of career counseling, job-search assistance, personal counseling, health services, residence life and a campus ministry which sponsors religious and spiritual activities. 
There are also numerous social and recreational activities including sports, community service groups, and academic, professional and enrichment clubs. Xavier’s men’s basketball team is particularly well-known, having competed in the NCAA Tournament a number of times.
Financial aid offerings at Xavier include scholarships, loans, grants and work-study, which are available to those who qualify.",,,,,,11-50,,13,"Education, Other, Software",1,Katharine Drexel,101-250,2,,2018-08-31,"$1,500,000.0",Grant,,,,"$1,535,000.0","Gayle and Tom Benson Charitable Foundation, National Endowment for the Humanities",1,2,,,,,,,,,Private,,,,,,,,,,"105,744",,0.5,3.1,0.6,8,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales",254,"274,508","290,079.67",-21.27%,874,43.04%,4.03,11.04%,51.73%,15.78%,"266,857","52,382",24.42%,85,5,284,,32,2,Medical Or Veterinary Science; Hygiene,Clothing; footwear; headgear,,,,,,,,,,,,,22,,,
Centner Academy,2012,"Education, Primary Education, Secondary Education","Miami, Florida, United States","Centner Academy is a school for preschool, elementary, and middle school students.","108,392","Greater Miami Area, East Coast, Southern US",,,Active,,,,centneracademy.com/,,,https://www.linkedin.com/company/centner-academy-miami/,,"(305) 576-6070, X1",,,"Centner Academy is a school for preschool, elementary, and middle school students.
The school curates authentic, fun, and purposeful learning experiences for students which ensures that all students find meaning and joy in their learning. It blends social and emotional learning with problem-solving and critical thinking gives its students the capacity to think about systems, contexts, and their learning from multiple perspectives.",,,,,,,,,Education,2,"David Centner, Leila Centner",,4,,2018-09-04,,Debt Financing,,,,"$4,314,000.0",Advantage Capital,,1,,,,,,,,,Private,,,,,,,,,,"106,044",,-0.1,1.4,1.0,5,Operations,1,"4,304","5,584",50.54%,206,610.34%,5.25,347.11%,25%,-69.73%,"3,635,420","-525,472",-12.63%,46,,,,0,2,,Education; entertainment,,,,,,,,,,,,,,,,
North Central Texas College,1924,,"Gainesville, Texas, United States",North Central Texas College is a community college located in Texas,,Southern US,,,Active,,,,www.nctc.edu/,http://twitter.com/nctcliontalk,http://www.facebook.com/117102783857,,chogan@nctc.edu,,4,,"North Central Texas College, located in Gainesville, Texas, is a great school to spend two years and earn an associate’s degree or take continuing education courses. The unique Saturday College program allows students with hectic schedules to earn their degree on the weekend, while going about their normal lives.
Among the programs available to study are subjects like Astronomy, Psychology, Social Science, Vocational Nursing, Emergency Medical Technology, Law Enforcement, Computer Information Systems &amp; Technology, Equine Science, and Office Systems Technology.
By filling out the free financial aid application, the FAFSA, students may become eligible for many different types of aid such as loans, grants, and work-study programs, which can help pay for tuition and other educational expenses.
The student success center is available for anybody interested in succeeding in their courses, with resources like tutoring, advising, and counseling.
At NCTC, school isn’t just about the academic aspect. There is also a strong student life that includes a fitness center, clubs and organizations, and outdoor activities. For those who are interested in becoming leaders, there are service learning trips and leadership retreats.",Yes,,,,,5001-10000,,2,,,,501-1000,1,,2022-07-07,"$401,500.0",Grant,,,,"$401,500.0","Texas Workforce Commision, Office of Texas Governor",,2,,,,,,,,,Private,,,,,,,,,,"106,067",,-0.2,-0.5,9.2,3,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations, Pro Services, Sales",225,"272,219","147,520",94.48%,779,-71.84%,2.77,-48.47%,55.83%,-5.93%,"268,177","-129,928",-32.64%,35,,,,0,1,,Education; entertainment,,,,,,,,,,,,,3,,,
University of Dallas,1956,"Education, Tutoring, Universities","Irving, Texas, United States","University of Dallas is a private Catholic institution offering programs through various colleges, graduate schools and institutes.","45,310","Dallas/Fort Worth Metroplex, Southern US",,,Active,,,,www.udallas.edu/,http://twitter.com/UofDallas,http://www.facebook.com/125917137489,http://www.linkedin.com/company/11664,,972.721.5000,54,,"Founded in 1956, the University of Dallas has spent that last half a
century providing students with the education they need to succeed in the
working world, as well as instilling Catholic traditions and faith into
all aspects of the campus.
Academics at University of Dallas include everything from Economics to
Biochemistry, along with a number of religion-based fields such as
Theology or Christian Contemplative Tradition. Undergraduate and graduate
degrees are offered, as is an adult continuing education series of
lectures.
Student life is much like what you would find on a traditional college
campus, but many organizations operate with the goal of including
Catholic values in everything they do. The Eucharist-centered campus
ministry is also available to provide religious services to students, as
well as a number of fun gatherings and events.
Tuition costs depend on the term that you choose to attend. For detailed
information on tuition costs, as well as financial aid opportunities and
scholarships, contact the University of Dallas today.",,,,,,11-50,,34,"Education, Other",,,501-1000,1,,2013-10-24,"$12,000,000.0",Grant,,,,"$12,000,000.0","Satish Gupta, Yasmin Gupta",,2,,,,,,,,,Private,,,,,,,,,,"106,107",,1.0,0.9,-0.2,3,"Engineering, Finance, Human Resources, Information Technology, Management, Marketing, Operations, Pro Services",334,"58,434","104,364.17",9.63%,222,-9.39%,3.6,9.55%,42.99%,-4.83%,"756,451","2,205",0.29%,188,,,,0,3,,Education; entertainment,,,,,,,,,,,,,116,,,
Wellesley College,1875,Education,"Wellesley, Massachusetts, United States","Wellesley College is a private, women's liberal arts college located in Wellesley, Massachusetts.",,"Greater Boston Area, East Coast, New England",Women Founded,,Active,,,,www.wellesley.edu/,https://twitter.com/Wellesley,https://www.facebook.com/WellesleyCollege/timeline?ref=page_internal,https://www.linkedin.com/company/wellesley-college?trk=top_nav_home,admission@wellesley.edu,781.283.2005,211,,"The Wellesley College in Wellesley Hills, Massachusetts, offers a high
quality liberal arts program exclusively to women who want to make a
difference in the world.
To prepare women to make a difference, the school encourages involvement.
Student life at the school is rich in activities, clubs and organizations
in a broad range of interests from sports to theater and from religion to
college government. No matter where your interests lie, there will be
opportunities for you.
Boston is also nearby, allowing students to experience the culture and
entertainment of the historic city.
The school also provides many jobs, volunteer opportunities, internships
and summer offerings to connect your education to the outside world.
Academics include a variety of liberal arts concentrations in areas like
Art, Astronomy, Philosophy, Education, Religion and more.
Admissions urge students planning to concentrate in mathematics,
premedical studies or natural sciences to have taken elective secondary
courses in mathematics and science. Similarly, students planning to focus
in literature or language are advised to have taken a foreign language
and Latin or Greek.
Additional requirements include ACT/SAT scores, leadership activities,
extracurricular activities, class rank, letters of recommendation and a
personal essay.
The school awards scholarships based on need to reduce student loan debt.
Other financial aid options to eligible students include federal and
local grants and student loans.",,,,,,1001-5000,,65,Education,2,"Henry Fowle Durant, Pauline Durant",1001-5000,1,,2018-06-21,"$1,000,000.0",Grant,,,,"$1,000,000.0",The Howard Hughes Medical Institute,1,1,,,,,,,,,Private,,,,,,,,,,"106,171",,-0.2,0.9,-0.1,7,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Sales",861,"286,609","511,010",-32.5%,603,26.15%,3.75,40.99%,58.88%,-9.79%,"258,762","72,999",39.3%,90,,,,4,6,Medical Or Veterinary Science; Hygiene,Education; entertainment,,,,,,,,,,,,,182,,,
Lawrence Technological University,1932,,"Southfield, Michigan, United States","Lawrence Technological University is a private educational institution offering courses in Science, Technology, Engineering, Arts, and Math.",,"Greater Detroit Area, Great Lakes, Midwestern US",,,Active,,,,www.ltu.edu/,http://twitter.com/LawrenceTechU,http://www.facebook.com/lawrencetechu,,admissions@ltu.edu,248.204.2800,71,,"Lawrence Technological University boasts an intimate learning
environment, innovative academics and success among its graduates.
Located in Southfield, Michigan, Lawrence Tech offers over 100 degree
options at the undergraduate and graduate levels, including master’s and
doctoral degrees.
Degrees are awarded in such fields as Aeronautical, Civil and Mechanical
Engineering, Architecture, Bioelectronics, Business, Computer Science,
Physics and such pre-professional programs as Pre-Med and Pre-Dental.
Lawrence Tech also offers artistic degrees that push past the boundaries
of many technological universities. Included among these are degrees in
Animation and Visual Effects for Film, Digital Arts, Graphic Design,
Radio and Television Broadcasting, Media Communications, Television
Production and Writing.
Exceedingly small classes, which usually feature no more than 16
students, enhance the Lawrence Tech learning experience and provide more
interaction between student and faculty.
Student life at Lawrence Tech is another reason to attend. Enhancing the
academic experience, more than 60 academic, recreational, special
interest, religious, cultural, service and Greek organizations can be
found at Lawrence Tech. There is also a student newspaper and student
government.
Comfortable student housing, dining and recreational facilities also make
campus life an enjoyable experience.
Loans, grants, work-study, scholarships and military assistance are some
of the financial aid options available to eligible students.",,,,,,11-50,,18,,1,Russell E. Lawrence,501-1000,1,,2019-04-09,"$350,000.0",Grant,,,,"$350,000.0",New Economy Initiative,1,1,,,,,,,,,Private,,,,,,,,,,"106,243",,0.1,0.0,1.9,5,"Engineering, Finance, Information Technology, Management, Marketing, Operations, Pro Services, Sales",433,"157,760","308,064.5",-47.85%,532,-8.9%,4.95,2.9%,32.14%,-18.2%,"388,872","153,276",65.06%,97,3,,,4,12,"Construction Of Roads, Railways, Or Bridges",Education; entertainment,,,,,,,,,,,,,61,,,
Florida A&amp;M University – Florida State University College of Engineering,1982,"EdTech, Education, Universities","Tallahassee, Florida, United States",The FAMU-FSU College of Engineering is a joint institution of Florida A&amp;M University,"97,620","East Coast, Southern US",,,Active,,,,www.eng.famu.fsu.edu/,https://www.twitter.com/famufsucoe,https://www.facebook.com/famufsucoecomm,https://www.linkedin.com/in/famufsucoe,,(850) 410-6136,2,,"The College of Engineering was established as a joint program serving two universities in Tallahassee, Florida: The Florida Agricultural and Mechanical University, which received recognition from the National Academy of Sciences and the National Academy of Engineering in 2010 for ranking number one as the institution of origin for African Americans earning Doctorates in Natural Science and Engineering; and, The Florida State University which has gained worldwide recognition for its extensive graduate and research programs. Florida A&amp;M University is an HBCU. 
The FAMU-FSU College of Engineering has been widely hailed for taking the initiative to create programs to align academic curriculum with industry needs. The College ensures that the students learn what they need to learn through quality teaching and research. All programs offered by the College have been accredited by the Engineering Accreditation Commission of ABET.",,,,,,,,3,"Education, Other, Software",,,51-100,1,,2017-08-17,"$4,900,000.0",Grant,,,,"$4,900,000.0",National Science Foundation,,1,,,,,,,,,Private,,,,,,,,,,"106,256",,-0.2,0.8,1.0,3,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,4,,,
Gonzaga University,1887,,"Spokane, Washington, United States","Gonzaga University is a private Roman Catholic university located in Spokane, Washington.",,"West Coast, Western US",,,Active,,,,www.gonzaga.edu/,http://twitter.com/gonzagau,http://www.facebook.com/GonzagaUniversity,,connall@gonzaga.edu,(800) 986.9585,194,,"A high-ranking school, Gonzaga University in Spokane, Washington, offers an education that is governed by the Catholic philosophy of cura personalis, which translates as education of the whole person.
Students do more than just read books and write papers. They engage in creative activities, contemplation and recreation, examine the relationships between science and art, and participate in social and religious activities.
Law and Business Schools and Engineering and Applied Science programs are particularly well known and respected.
Academics at Gonzaga are also administered through the schools of:
Arts and Sciences
Education
Professional Studies
Just like Gonzaga’s classes, college life is designed to nurture students creatively, socially and spiritually. Extracurricular activities include spiritual services, retreats and organizations, community service and volunteer opportunities, student clubs and approximately half a dozen student publications.
Admissions require SAT or ACT scores, transcripts and a letter of recommendation along with the application, which has a fee. Those who cannot afford the application fee may ask for a fee waiver. Those with a GPA below 3.1 or who have an SAT score below 1070 will need to have an interview as well.",,,,,,5001-10000,,55,,1,Joseph Cataldo,,1,,2022-06-28,"$25,000.0",Grant,,,,"$25,000.0",U.S. Environmental Protection Agency,1,1,,,,,,,,,Private,,,,,,,,,,"106,476",,0.8,-0.4,6.6,3,"Engineering, Finance, Human Resources, Information Technology, Legal, Management, Marketing, Medical &amp; Science, Operations, Pro Services, Product, Sales",600,"328,452","926,814.83",-86.04%,505,-50.68%,2.49,-45.24%,50.77%,25.92%,"235,472","184,053",357.95%,125,8,757,,1,0,Agriculture; Forestry; Animal Husbandry; Hunting; Trapping; Fishing,,,,,,,,,,,,,,146,,,
Virginia Union University,1865,,"Richmond, Virginia, United States",Virginia Union University is a school in Richmond.,,"East Coast, Southern US",,,Active,,,,www.vuu.edu/,https://www.twitter.com/vaunion1865,http://www.facebook.com/77814502687,http://www.linkedin.com/company/virginia-union-university,,800-368-3227,29,,"Virginia Union University (VUU) is a well-respected, private four-year university, established to nourish the academic goals and success of the African American community. Virginia Union University is an HBCU. 
Established in Richmond, Virginia just shortly after the American Civil War in 1865, the university was founded on the hope to promote education for all people, regardless of race. 
Virginia Union University has a deep history of dedicating its resources to uplifting the individual and acknowledging the power of education. 
Today, Virginia Union University continues its original goal of creating opportunities for everyone. VUU is made up of four schools: education, psychology and interdisciplinary studies; business; humanities and social sciences; and mathematics, science and technology. 
VUU accepts federal financial aid obtained through the FAFSA, and offers career and personal counseling to assist all of its students in their pursuit of a better career, and a better life. Contact Virginia Union University today for more details.",,,,,,11-50,,5,,,,,1,,2022-03-21,"$1,000,000.0",Grant,,,,"$1,000,000.0",Bank of America,1,1,,,,,,,,,Private,,,,,,,,,,"106,831",,-0.1,-0.1,-0.4,9,"Finance, Management, Operations, Pro Services, Sales",80,"33,401","75,084.83",-50.51%,"1,262",-40.22%,2.7,-54.64%,46.94%,14.88%,"1,085,309","438,504",67.8%,64,,,,0,2,,Clothing; footwear; headgear,,,,,,,,,,,,,8,,,
Green Fox Academy,2015,"Education, Information Technology","Budapest, Budapest, Hungary","A school with headquarters in Budapest, where we make non-programmers into programmers and then refer our students to our partner companies.",,European Union (EU),,,Active,,,,www.en.greenfoxacademy.com/,https://twitter.com/greenfoxacademy,https://www.facebook.com/greenfoxacademy/,https://www.linkedin.com/school/10122962/,hello@greenfox.academy,+36703226323,2,,"Green Fox Academy is a school in the heart of Budapest, where we transfer non-programmers into junior programmers in 4 months. Moreover, once they have successfully graduated, we help them to find their first job at one of our partner companies. 98% of our graduated students have already worked as software developer.
 
Our mission is to build a bridge between IT companies fighting for talented professionals and ambitious young people seeking better opportunities. Currently, there are two courses available: Software Developer and Hardware Programmer course, where students can learn to code with the help of professional mentors. In 2018 we are going to open our next school abroad and launch further courses as well.
 
We apply holacracy and practice extreme transparency. 
We don’t believe in traditional frontal education, we use a mentor-based teaching format.
We focus not only on tech but also on soft-skills. Two full-time psychologists work in the team.
We work with flexible syllabus which is created according to our partners’ request.
 
Would you like to know more about us? Do not hesitate, get in contact with us. :)",,,,Private (Non-Profit),Bootcamp,101-250,,,"Education, Information Technology",5,"Barbara Fazekas, Kristóf Bárdos, Peter Langmar, Peter Lukacs, Tamas Kokeny",,2,,2020-06-16,"$1,299,268.841",Venture - Series Unknown,"$1,299,268.841",Venture - Series Unknown,"$1,634,645.0","$1,634,645.0","Baconsult, Impact Ventures Hungary",1,2,,,,,,,,,Private,,,,,,,,,,"106,652",,-0.2,-0.3,-0.6,3,,,,,,,,,,,,,,,55,,,,0,2,,Advertising; business,,,,,,,,,,,,,,,,
